Santa_Name,Santa_EmailID,Recipient_Name,Recipient_EmailID
Hamish Murray,hamish.murray@acme.com,Hamish Murray,hamish.murray.sr@acme.com
Layla Graham,layla.graham@acme.com,Benjamin Collins,benjamin.collins@acme.com
Matthew King,matthew.king@acme.com,Hamish Murray,hamish.murray@acme.com
Benjamin Collins,benjamin.collins@acme.com,Isabella Scott,isabella.scott@acme.com
Isabella Scott,isabella.scott@acme.com,Matthew King,matthew.king.jr@acme.com
Charlie Ross,charlie.ross@acme.com,Charlie Ross,charlie.ross.jr@acme.com
Hamish Murray,hamish.murray.sr@acme.com,Ethan Murray,ethan.murray@acme.com
Piper Stewart,piper.stewart@acme.com,Charlie Ross,charlie.ross@acme.com
Spencer Allen,spencer.allen@acme.com,Hamish Murray,hamish.murray.jr@acme.com
Charlie Wright,charlie.wright@acme.com,Layla Graham,layla.graham@acme.com
Hamish Murray,hamish.murray.jr@acme.com,Matthew King,matthew.king@acme.com
Charlie Ross,charlie.ross.jr@acme.com,Mark Lawrence,mark.lawrence@acme.com
Ethan Murray,ethan.murray@acme.com,Charlie Wright,charlie.wright@acme.com
Matthew King,matthew.king.jr@acme.com,Spencer Allen,spencer.allen@acme.com
Mark Lawrence,mark.lawrence@acme.com,Piper Stewart,piper.stewart@acme.com
